Entity,Day,"Cumulative excess deaths per 100,000 people (central estimate)","Cumulative excess deaths per 100,000 people (95% CI, lower bound)","Cumulative excess deaths per 100,000 people (95% CI, upper bound)","Total confirmed deaths due to COVID-19 per 100,000 people"
Afghanistan,2024-06-17,422.1163,152.53061,518.8153,19.709799
Albania,2024-06-17,550.91364,520.8726,584.6845,127.494995
Algeria,2024-06-17,294.5267,77.499245,464.23813,15.130612
Andorra,2024-06-17,223.76707,105.41971,701.0453,199.56071
Angola,2024-06-17,149.25598,37.14853,417.57974,5.4356694
Antigua and Barbuda,2024-06-17,-136.39189,-244.94048,120.618065,157.3208
Argentina,2024-06-17,614.691,388.97656,614.691,287.75632
Armenia,2024-06-17,471.62216,421.23987,907.2889,304.70395
Australia,2024-06-17,163.19267,135.7709,163.19267,96.31719
Austria,2024-06-17,367.599,355.57343,367.599,248.59253
Azerbaijan,2024-06-17,321.8272,228.71951,622.0599,100.56088
Bahamas,2024-06-17,410.38293,247.69241,542.08276,213.33763
Bahrain,2024-06-17,258.8425,157.37122,622.1434,100.16904
Bangladesh,2024-06-17,518.3162,184.60551,780.65607,17.4136
Barbados,2024-06-17,342.35962,247.07529,365.05807,210.08403
Belarus,2024-06-17,852.3417,487.1061,953.8135,77.59569
Belgium,2024-06-17,321.26468,309.5935,321.26468,294.96402
Belize,2024-06-17,194.02904,129.36787,289.23013,170.8506
Benin,2024-06-17,177.60036,-24.269716,453.71024,1.1846397
Bhutan,2024-06-17,-65.72443,-165.12738,74.22164,2.689315
Bolivia,2024-06-17,546.754,497.474,750.65393,185.36734
Bosnia and Herzegovina,2024-06-17,796.25183,764.6597,809.3897,511.36276
Botswana,2024-06-17,190.75377,190.75377,695.2853,114.80247
Brazil,2024-06-17,433.6395,411.819,433.6395,333.8539
Brunei,2024-06-17,160.94974,47.73177,278.72513,39.09287
Bulgaria,2024-06-17,965.4326,953.0623,976.2477,566.83325
Burkina Faso,2024-06-17,194.56854,-7.710226,477.89505,1.7770673
Burundi,2024-06-17,224.19203,-28.33556,443.05057,0.11260369
Cambodia,2024-06-17,498.48837,111.7548,533.7677,17.765726
Cameroon,2024-06-17,218.1995,52.517757,551.2477,7.1437044
Canada,2024-06-17,224.95798,176.99864,237.6471,142.28305
Cape Verde,2024-06-17,189.85352,99.82488,281.61493,80.239525
Central African Republic,2024-06-17,174.99266,-22.86352,460.82916,2.216561
Chad,2024-06-17,222.954,-20.28706,540.4602,1.0511903
Chile,2024-06-17,367.35086,360.25684,371.1946,320.77457
China,2024-06-17,185.39146,33.109898,523.52435,8.578148
Colombia,2024-06-17,407.60077,333.16757,433.5575,275.8655
Comoros,2024-06-17,216.25865,9.498128,450.77713,19.181547
Congo,2024-06-17,134.56165,-31.576887,525.46844,6.4456725
Costa Rica,2024-06-17,202.09488,111.88436,237.22824,184.40625
Cote d'Ivoire,2024-06-17,138.35547,-16.950655,385.5921,
Croatia,2024-06-17,695.4473,685.8416,702.8061,479.9605
Cuba,2024-06-17,556.96185,495.33316,641.92554,77.126366
Cyprus,2024-06-17,216.03195,202.52841,220.8391,145.05638
Czechia,2024-06-17,441.88782,426.0692,442.26993,407.62964
Democratic Republic of Congo,2024-06-17,331.7366,17.50306,484.99957,1.4365667
Denmark,2024-06-17,149.43564,140.02808,149.43564,164.20892
Djibouti,2024-06-17,125.3141,39.97407,569.96674,16.621931
Dominica,2024-06-17,130.10054,43.31996,487.34772,110.77679
Dominican Republic,2024-06-17,49.27271,15.951533,82.0615,39.035904
East Timor,2024-06-17,158.05852,21.945555,449.7413,10.07851
Ecuador,2024-06-17,503.92206,493.3257,503.92206,202.257
Egypt,2024-06-17,339.14233,327.87778,362.37527,22.047947
El Salvador,2024-06-17,363.80838,174.13118,518.641,67.353806
Equatorial Guinea,2024-06-17,103.57504,44.64817,441.406,10.146959
Eritrea,2024-06-17,231.28052,0.36773992,400.9327,3.0210533
Estonia,2024-06-17,460.4492,453.3822,464.8883,222.29004
Eswatini,2024-06-17,210.09813,180.66069,701.58673,117.07536
Ethiopia,2024-06-17,369.59207,96.996895,598.8411,6.0406313
Fiji,2024-06-17,60.584023,31.465057,513.0274,96.260735
Finland,2024-06-17,364.30722,350.0361,364.30722,205.88036
France,2024-06-17,244.31956,230.34625,244.31956,261.50885
French Guiana,2024-06-17,435.53238,19.592201,747.9716,138.46051
Gabon,2024-06-17,123.209625,11.32398,446.85117,12.630096
Gambia,2024-06-17,170.4197,-12.228846,402.65842,14.110027
Georgia,2024-06-17,662.0017,635.80725,712.1674,451.9428
Germany,2024-06-17,353.98877,345.0183,354.04156,208.09485
Ghana,2024-06-17,276.18936,7.445984,454.68253,4.410376
Greece,2024-06-17,355.54016,337.4814,355.54016,375.08063
Greenland,2024-06-17,-286.298,-355.26868,-201.7709,37.52077
Grenada,2024-06-17,148.6619,32.778473,460.21603,203.63463
Guatemala,2024-06-17,314.3301,230.03209,466.2024,113.19585
Guinea,2024-06-17,168.51988,-43.941235,418.93295,3.3297582
Guinea-Bissau,2024-06-17,187.38681,-8.840439,520.1148,8.406638
Guyana,2024-06-17,461.14227,305.045,970.8272,158.47359
Haiti,2024-06-17,194.42868,1.8449633,398.87485,7.475951
Honduras,2024-06-17,302.68857,168.45067,519.3696,106.21354
Hungary,2024-06-17,490.2902,481.8862,496.1037,506.50235
Iceland,2024-06-17,156.73393,141.12633,160.06717,48.905926
India,2024-06-17,429.99173,198.48961,834.10986,37.43597
Indonesia,2024-06-17,304.1948,177.09111,735.73444,58.12062
Iran,2024-06-17,340.65387,299.2913,418.39453,164.01935
Iraq,2024-06-17,326.1802,160.99358,567.339,57.578186
Ireland,2024-06-17,246.94342,237.77914,249.18895,187.55507
Israel,2024-06-17,202.85051,138.77037,202.85051,139.5899
Italy,2024-06-17,518.5999,497.82886,518.5999,329.39133
Jamaica,2024-06-17,220.17044,122.24206,268.6784,126.94173
Japan,2024-06-17,276.75882,252.65407,276.75882,59.75638
Jordan,2024-06-17,130.49596,93.099525,200.42195,125.45958
Kazakhstan,2024-06-17,415.39908,404.59995,423.16418,95.19546
Kenya,2024-06-17,336.19705,48.927345,511.56775,10.486172
Kiribati,2024-06-17,81.1967,-82.91665,394.45505,18.39997
Kosovo,2024-06-17,184.22781,171.96138,219.28107,186.97247
Kuwait,2024-06-17,183.82353,138.91376,229.94629,55.997787
Kyrgyzstan,2024-06-17,187.8143,178.31816,207.16687,14.721642
Laos,2024-06-17,469.6596,163.87889,659.1088,8.876882
Latvia,2024-06-17,604.1716,593.0004,609.2008,397.39163
Lebanon,2024-06-17,273.54874,223.90376,365.94916,190.56685
Lesotho,2024-06-17,238.55998,72.92237,445.67715,31.013964
Liberia,2024-06-17,152.51996,-40.404167,416.1452,5.471549
Libya,2024-06-17,532.1955,259.88367,743.32166,89.10876
Liechtenstein,2024-06-17,44.842323,-36.98986,126.61514,226.53804
Lithuania,2024-06-17,1096.093,1087.0033,1098.8855,348.11664
Luxembourg,2024-06-17,-3.0646982,-17.484957,-2.8169932,153.07677
Madagascar,2024-06-17,213.6085,9.909388,415.5895,4.688339
Malawi,2024-06-17,219.18622,26.351532,441.64423,13.058687
Malaysia,2024-06-17,148.2891,121.11372,164.91707,107.6539
Maldives,2024-06-17,153.99391,82.10087,295.9934,60.297634
Mali,2024-06-17,209.23311,30.529396,462.23837,3.2202716
Malta,2024-06-17,201.49847,181.19078,202.3783,171.54283
Marshall Islands,2024-06-17,156.90688,-128.27411,485.53394,42.438465
Mauritania,2024-06-17,156.27638,42.220535,440.49402,20.448807
Mauritius,2024-06-17,200.36292,118.484535,294.51083,84.0076
Mexico,2024-06-17,511.63535,474.56348,542.89606,260.08167
Micronesia (country),2024-06-17,259.98605,15.165101,690.6123,57.99377
Moldova,2024-06-17,569.37213,542.7446,834.2407,402.60583
Monaco,2024-06-17,789.81024,619.05725,1049.2501,172.20552
Mongolia,2024-06-17,15.5377865,11.905493,19.52839,63.083824
Montenegro,2024-06-17,561.22943,519.4736,605.546,431.82346
Morocco,2024-06-17,256.5638,82.17604,402.90326,43.679165
Mozambique,2024-06-17,329.25607,126.55972,496.7812,6.896089
Myanmar,2024-06-17,379.2174,180.03058,584.0035,36.26336
Namibia,2024-06-17,148.80191,99.65873,382.92194,142.16373
Nauru,2024-06-17,19.012691,-172.39478,435.01724,8.486803
Nepal,2024-06-17,482.6003,148.22066,636.05756,40.487446
Netherlands,2024-06-17,386.91907,376.92096,386.91907,128.38208
New Caledonia,2024-06-17,70.735,-132.58308,380.53094,109.37146
New Zealand,2024-06-17,19.17538,11.852445,22.664566,80.2856
Nicaragua,2024-06-17,292.26663,177.98465,412.60715,3.640082
Niger,2024-06-17,206.40219,-1.567405,453.70547,1.2444729
Nigeria,2024-06-17,243.77348,0.09333102,446.59787,1.4138418
North Macedonia,2024-06-17,826.3936,803.3831,845.8916,542.17053
Norway,2024-06-17,221.66547,212.12312,222.27629,105.04415
Oman,2024-06-17,69.742676,62.177307,83.49608,97.83985
Pakistan,2024-06-17,329.39755,166.82306,663.68146,12.57937
Palau,2024-06-17,-17.522343,-223.88289,546.6074,56.37614
Palestine,2024-06-17,113.84387,36.190292,296.91827,107.59194
Panama,2024-06-17,253.24678,107.215416,346.38638,197.96783
Papua New Guinea,2024-06-17,174.58286,-63.894115,474.07867,6.5666122
Paraguay,2024-06-17,366.02518,349.59274,382.98038,294.0655
Peru,2024-06-17,660.1737,593.202,777.93524,660.118
Philippines,2024-06-17,275.72623,246.06442,367.90094,58.67101
Poland,2024-06-17,409.98438,405.07617,417.35715,314.47397
Portugal,2024-06-17,419.1075,401.44272,419.1075,272.6113
Puerto Rico,2024-06-17,682.8833,107.8873,842.0783,183.2194
Qatar,2024-06-17,83.55089,56.856552,89.48547,23.855465
