semana_fin,pais,casos_semana,factor_crec_7d
2020-03-05,Argentina,10.0,inf
2020-03-06,Argentina,14.0,inf
2020-03-07,Argentina,20.0,inf
2020-03-08,Argentina,22.0,inf
2020-03-09,Argentina,26.0,inf
2020-03-10,Argentina,34.0,inf
2020-03-11,Argentina,45.0,inf
2020-03-12,Argentina,57.0,5.7
2020-03-13,Argentina,88.0,6.285714285714286
2020-03-14,Argentina,95.0,4.75
2020-03-15,Argentina,109.0,4.954545454545454
2020-03-16,Argentina,132.0,5.076923076923077
2020-03-17,Argentina,180.0,5.294117647058823
2020-03-18,Argentina,218.0,4.844444444444444
2020-03-19,Argentina,236.0,4.140350877192983
2020-03-20,Argentina,285.0,3.2386363636363638
2020-03-21,Argentina,341.0,3.5894736842105264
2020-03-22,Argentina,405.0,3.7155963302752295
2020-03-23,Argentina,477.0,3.6136363636363638
2020-03-24,Argentina,537.0,2.9833333333333334
2020-03-25,Argentina,605.0,2.7752293577981653
2020-03-26,Argentina,672.0,2.847457627118644
2020-03-27,Argentina,709.0,2.487719298245614
2020-03-28,Argentina,732.0,2.1466275659824046
2020-03-29,Argentina,746.0,1.8419753086419752
2020-03-30,Argentina,776.0,1.6268343815513626
2020-03-31,Argentina,765.0,1.4245810055865922
2020-04-01,Argentina,762.0,1.259504132231405
2020-04-02,Argentina,802.0,1.193452380952381
2020-04-03,Argentina,801.0,1.1297602256699577
2020-04-04,Argentina,813.0,1.110655737704918
2020-04-05,Argentina,791.0,1.0603217158176943
2020-04-06,Argentina,810.0,1.0438144329896908
2020-04-07,Argentina,825.0,1.0784313725490196
2020-04-08,Argentina,826.0,1.083989501312336
2020-04-09,Argentina,822.0,1.0249376558603491
2020-04-10,Argentina,802.0,1.0012484394506866
2020-04-11,Argentina,854.0,1.050430504305043
2020-04-12,Argentina,917.0,1.1592920353982301
2020-04-13,Argentina,955.0,1.1790123456790123
2020-04-14,Argentina,974.0,1.1806060606060607
2020-04-15,Argentina,1023.0,1.238498789346247
