fecha,pais,incidencia_7d
2020-01-01,Argentina,
2020-01-02,Argentina,
2020-01-03,Argentina,
2020-01-04,Argentina,0.0
2020-01-05,Argentina,0.0
2020-01-06,Argentina,0.0
2020-01-07,Argentina,0.0
2020-01-08,Argentina,0.0
2020-01-09,Argentina,0.0
2020-01-10,Argentina,0.0
2020-01-11,Argentina,0.0
2020-01-12,Argentina,0.0
2020-01-13,Argentina,0.0
2020-01-14,Argentina,0.0
2020-01-15,Argentina,0.0
2020-01-16,Argentina,0.0
2020-01-17,Argentina,0.0
2020-01-18,Argentina,0.0
2020-01-19,Argentina,0.0
2020-01-20,Argentina,0.0
2020-01-21,Argentina,0.0
2020-01-22,Argentina,0.0
2020-01-23,Argentina,0.0
2020-01-24,Argentina,0.0
2020-01-25,Argentina,0.0
2020-01-26,Argentina,0.0
2020-01-27,Argentina,0.0
2020-01-28,Argentina,0.0
2020-01-29,Argentina,0.0
2020-01-30,Argentina,0.0
2020-01-31,Argentina,0.0
2020-02-01,Argentina,0.0
2020-02-02,Argentina,0.0
2020-02-03,Argentina,0.0
2020-02-04,Argentina,0.0
2020-02-05,Argentina,0.0
2020-02-06,Argentina,0.0
2020-02-07,Argentina,0.0
2020-02-08,Argentina,0.0
2020-02-09,Argentina,0.0
2020-02-10,Argentina,0.0
2020-02-11,Argentina,0.0
2020-02-12,Argentina,0.0
2020-02-13,Argentina,0.0
2020-02-14,Argentina,0.0
2020-02-15,Argentina,0.0
2020-02-16,Argentina,0.0
2020-02-17,Argentina,0.0
2020-02-18,Argentina,0.0
2020-02-19,Argentina,0.0
2020-02-20,Argentina,0.0
2020-02-21,Argentina,0.0
2020-02-22,Argentina,0.0
2020-02-23,Argentina,0.0
2020-02-24,Argentina,0.0
2020-02-25,Argentina,0.0
2020-02-26,Argentina,0.0
2020-02-27,Argentina,0.0
2020-02-28,Argentina,0.0
2020-02-29,Argentina,0.0
2020-03-01,Argentina,0.0
2020-03-02,Argentina,0.0
2020-03-03,Argentina,0.0
2020-03-04,Argentina,0.0
2020-03-05,Argentina,0.00314608801164853
2020-03-06,Argentina,0.004404523216307942
2020-03-07,Argentina,0.00629217602329706
2020-03-08,Argentina,0.0069213936256267644
2020-03-09,Argentina,0.008179828830286177
2020-03-10,Argentina,0.010696699239604998
2020-03-11,Argentina,0.014157396052418381
2020-03-12,Argentina,0.017932701666396617
2020-03-13,Argentina,0.027685574502507058
2020-03-14,Argentina,0.02988783611066103
2020-03-15,Argentina,0.03429235932696897
2020-03-16,Argentina,0.04152836175376058
2020-03-17,Argentina,0.056629584209673525
2020-03-18,Argentina,0.06858471865393793
2020-03-19,Argentina,0.0742476770749053
2020-03-20,Argentina,0.0896635083319831
2020-03-21,Argentina,0.10728160119721485
2020-03-22,Argentina,0.12741656447176544
2020-03-23,Argentina,0.15006839815563483
2020-03-24,Argentina,0.16894492622552604
2020-03-25,Argentina,0.19033832470473605
2020-03-26,Argentina,0.21141711438278118
2020-03-27,Argentina,0.22305764002588072
2020-03-28,Argentina,0.23029364245267234
2020-03-29,Argentina,0.2346981656689803
2020-03-30,Argentina,0.2441364297039259
2020-03-31,Argentina,0.24067573289111246
2020-04-01,Argentina,0.23973190648761797
2020-04-02,Argentina,0.2523162585342121
2020-04-03,Argentina,0.25200164973304723
2020-04-04,Argentina,0.25577695534702544
2020-04-05,Argentina,0.2488555617213987
2020-04-06,Argentina,0.2548331289435309
2020-04-07,Argentina,0.2595522609610037
2020-04-08,Argentina,0.2598668697621685
2020-04-09,Argentina,0.25860843455750915
2020-04-10,Argentina,0.2523162585342121
2020-04-11,Argentina,0.26867591619478437
2020-04-12,Argentina,0.2884962706681701
2020-04-13,Argentina,0.30045140511243457
2020-04-14,Argentina,0.30642897233456673
2020-04-15,Argentina,0.3218448035916445
2020-04-16,Argentina,0.3262493268079525
2020-04-17,Argentina,0.34827194288949215
2020-04-18,Argentina,0.34135054926386543
2020-04-19,Argentina,0.33851907005338183
2020-04-20,Argentina,0.34260898446852484
2020-04-21,Argentina,0.3706091677721967
2020-04-22,Argentina,0.37721595259665863
2020-04-23,Argentina,0.42031735835624356
2020-04-24,Argentina,0.43699162481798076
2020-04-25,Argentina,0.4451714536482669
2020-04-26,Argentina,0.4398231040284644
2020-04-27,Argentina,0.4464298888529263
2020-04-28,Argentina,0.4376208424203104
2020-04-29,Argentina,0.4420253656366184
2020-04-30,Argentina,0.4203173583562435
2020-05-01,Argentina,0.39892395987703344
2020-05-02,Argentina,0.40081161268402266
2020-05-03,Argentina,0.4055307447014954
2020-05-04,Argentina,0.39798013347353894
2020-05-05,Argentina,0.4071037887073197
2020-05-06,Argentina,0.4382500600226401
2020-05-07,Argentina,0.4725424193496091
2020-05-08,Argentina,0.5165876515126885
2020-05-09,Argentina,0.5505654020384926
2020-05-10,Argentina,0.596812895809726
2020-05-11,Argentina,0.6480941303995971
2020-05-12,Argentina,0.7012630177964573
2020-05-13,Argentina,0.7229710250768321
2020-05-14,Argentina,0.7644993868305925
2020-05-15,Argentina,0.8154660126192989
2020-05-16,Argentina,0.8532190687590812
2020-05-17,Argentina,0.915511611389722
2020-05-18,Argentina,1.0102088605403428
2020-05-19,Argentina,1.0772205351884563
2020-05-20,Argentina,1.1907943124089682
2020-05-21,Argentina,1.3034242632259858
2020-05-22,Argentina,1.4280093484872673
2020-05-23,Argentina,1.544099996117098
2020-05-24,Argentina,1.5922351426953207
2020-05-25,Argentina,1.5859429666720237
2020-05-26,Argentina,1.6444602036886862
2020-05-27,Argentina,1.6998313526937003
2020-05-28,Argentina,1.7363259736288232
2020-05-29,Argentina,1.7879218170198592
2020-05-30,Argentina,1.8124613035107178
2020-05-31,Argentina,1.8200119147386744
2020-06-01,Argentina,1.9326418655556914
2020-06-02,Argentina,2.0100356306422453
2020-06-03,Argentina,2.057226950816973
2020-06-04,Argentina,2.111654273418493
2020-06-05,Argentina,2.1717445544409797
2020-06-06,Argentina,2.2293179650541477
2020-06-07,Argentina,2.2957004220999315
2020-06-08,Argentina,2.4246900305775214
2020-06-09,Argentina,2.549904333441133
2020-06-10,Argentina,2.7411864845493636
2020-06-11,Argentina,2.910760628377219
2020-06-12,Argentina,3.1372789652159128
2020-06-13,Argentina,3.246762828021282
2020-06-14,Argentina,3.361595040446453
2020-06-15,Argentina,3.3669433900662553
2020-06-16,Argentina,3.5453265803267273
2020-06-17,Argentina,3.676518450412471
2020-06-18,Argentina,3.877238865555647
2020-06-19,Argentina,3.9675315914899594
2020-06-20,Argentina,4.258230123766284
2020-06-21,Argentina,4.420253656366183
2020-06-22,Argentina,4.829245097880492
2020-06-23,Argentina,5.093201882057804
2020-06-24,Argentina,5.416619729655273
2020-06-25,Argentina,5.644711110499791
2020-06-26,Argentina,5.8948251074258495
2020-06-27,Argentina,5.918106158712049
2020-06-28,Argentina,5.97976948374036
2020-06-29,Argentina,6.044893505581484
2020-06-30,Argentina,6.10624222180863
2020-07-01,Argentina,6.0609385544408925
2020-07-02,Argentina,6.083904996925925
2020-07-03,Argentina,6.175770766866063
2020-07-04,Argentina,6.211006952596526
2020-07-05,Argentina,6.353524739524205
2020-07-06,Argentina,6.6684481494902235
2020-07-07,Argentina,7.025529138812331
2020-07-08,Argentina,7.357126815240086
2020-07-09,Argentina,7.43514979792897
2020-07-10,Argentina,7.498386166963106
2020-07-11,Argentina,7.752275469503141
2020-07-12,Argentina,7.856096373887543
2020-07-13,Argentina,8.03290652014219
2020-07-14,Argentina,8.242435981717982
2020-07-15,Argentina,8.446617093673972
2020-07-16,Argentina,8.980508229250727
2020-07-17,Argentina,9.45776978061781
2020-07-18,Argentina,9.567253643423177
2020-07-19,Argentina,9.932829070376737
2020-07-20,Argentina,10.344337382300365
2020-07-21,Argentina,10.773778395890389
2020-07-22,Argentina,11.366501377284973
2020-07-23,Argentina,11.695896792104573
2020-07-24,Argentina,12.076573441514045
2020-07-25,Argentina,12.374822585018325
2020-07-26,Argentina,12.347451619316983
2020-07-27,Argentina,12.526778635980948
2020-07-28,Argentina,12.644756936417767
2020-07-29,Argentina,12.678420078142407
2020-07-30,Argentina,12.81527490664912
2020-07-31,Argentina,12.937972339103412
2020-08-01,Argentina,12.930107119074291
2020-08-02,Argentina,13.202558340883053
2020-08-03,Argentina,13.616268914414835
2020-08-04,Argentina,14.438970929460925
2020-08-05,Argentina,14.930389876880426
2020-08-06,Argentina,15.653360901957257
2020-08-07,Argentina,16.017048676103826
2020-08-08,Argentina,16.132195497330162
2020-08-09,Argentina,16.24671310095417
2020-08-10,Argentina,16.285724592298614
2020-08-11,Argentina,15.90378950768448
2020-08-12,Argentina,15.716282662190228
2020-08-13,Argentina,15.264819032518664
2020-08-14,Argentina,15.248144766056928
2020-08-15,Argentina,15.44729213719428
2020-08-16,Argentina,15.314212614301544
2020-08-17,Argentina,14.562297579517548
2020-08-18,Argentina,14.648185782235553
